Gene	sgRNA	S05_MNSC501_F5|beta	S05_MNSC501_F5|z	S05_MNSC501_F5|p-value	S05_MNSC501_F5|fdr	S05_MNSC501_F5|wald-p-value	S05_MNSC501_F5|wald-fdr	S07_MNSC501_F7|beta	S07_MNSC501_F7|z	S07_MNSC501_F7|p-value	S07_MNSC501_F7|fdr	S07_MNSC501_F7|wald-p-value	S07_MNSC501_F7|wald-fdr	S08_MNSC501_F8|beta	S08_MNSC501_F8|z	S08_MNSC501_F8|p-value	S08_MNSC501_F8|fdr	S08_MNSC501_F8|wald-p-value	S08_MNSC501_F8|wald-fdr
Vector	1	-0.34669	-1.0549	0.36364	0.5	0.29148	0.69489	0.048193	0.14664	0.90909	0.90909	0.88342	0.88342	0.24712	0.75193	0.45455	0.77778	0.4521	0.97984
SOX9	6	-1.0158	-4.2071	0	0	2.5868e-05	0.00014227	0.26314	1.0923	0	0	0.2747	0.56618	0.3971	1.6485	0	0	0.099244	0.54584
PROM1	6	0.047808	0.81156	0.36364	0.5	0.41705	0.69489	-0.045483	-0.77178	0.54545	0.85714	0.44024	0.65342	-0.01186	-0.20123	0.63636	0.77778	0.84052	0.97984
KRT20	6	0.045392	0.73217	0.36364	0.5	0.46406	0.69489	0.041783	0.67362	0.72727	0.88889	0.50055	0.65342	0.020392	0.32871	0.81818	0.9	0.74237	0.97984
LRIG1	6	0.051043	0.66606	0.36364	0.5	0.50537	0.69489	-0.16929	-2.2074	0.18182	0.4	0.027284	0.15006	-0.22631	-2.9503	0	0	0.0031746	0.034921
CTRL	10	0.09372	1.594	0.18182	0.5	0.11094	0.40678	0.059856	1.0177	0.90909	0.90909	0.30883	0.56618	-0.0025047	-0.042578	0.63636	0.77778	0.96604	0.97984
ROSA26	10	-0.045288	-0.7834	0.81818	0.81818	0.43339	0.69489	-0.14928	-2.5811	0	0	0.009849	0.10834	-0.064454	-1.1144	0.090909	0.25	0.2651	0.83329
CCR5	10	0.034749	0.56086	0.54545	0.6	0.57489	0.70264	-0.038489	-0.62098	0	0	0.53461	0.65342	0.019311	0.31156	1	1	0.75537	0.97984
AAVS1	10	0.021892	0.33256	0.54545	0.6	0.73947	0.74257	0.02735	0.41511	0.72727	0.88889	0.67807	0.74587	-0.0016652	-0.025266	0.63636	0.77778	0.97984	0.97984
EGFP	6	-2.4431	-8.211	0	0	2.1931e-16	2.4125e-15	0.42044	1.4159	0	0	0.1568	0.4312	0.30585	1.03	0	0	0.30301	0.83329
mKate2	6	0.023127	0.32846	0.36364	0.5	0.74257	0.74257	0.10636	1.5103	0.54545	0.85714	0.13098	0.4312	-0.01509	-0.21422	0.54545	0.77778	0.83038	0.97984
