Gene	sgRNA	S53_MNSC507_F5|beta	S53_MNSC507_F5|z	S53_MNSC507_F5|p-value	S53_MNSC507_F5|fdr	S53_MNSC507_F5|wald-p-value	S53_MNSC507_F5|wald-fdr	S55_MNSC507_F7|beta	S55_MNSC507_F7|z	S55_MNSC507_F7|p-value	S55_MNSC507_F7|fdr	S55_MNSC507_F7|wald-p-value	S55_MNSC507_F7|wald-fdr	S56_MNSC507_F8|beta	S56_MNSC507_F8|z	S56_MNSC507_F8|p-value	S56_MNSC507_F8|fdr	S56_MNSC507_F8|wald-p-value	S56_MNSC507_F8|wald-fdr
Vector	1	-0.40224	-0.86747	0.45455	0.72727	0.38569	0.54334	-0.3997	-0.86199	0	0	0.38869	0.47613	-0.4118	-0.88808	0	0	0.3745	0.5885
SOX9	6	-0.79773	-5.6706	0	0	1.4229e-08	7.8262e-08	-0.072069	-0.51236	0	0	0.6084	0.6084	0.045915	0.32642	0.54545	0.54545	0.74411	0.90318
PROM1	6	0.036427	1.3256	0.72727	0.72727	0.18498	0.33913	0.015369	0.55923	0.54545	0.54545	0.576	0.6084	0.0033429	0.12164	0.36364	0.4	0.90318	0.90318
KRT20	6	0.56096	2.0426	0	0	0.041089	0.12071	0.44948	1.6364	0	0	0.10176	0.47613	0.48062	1.7497	0	0	0.080176	0.30256
LRIG1	6	0.022153	0.85031	0.72727	0.72727	0.39515	0.54334	-0.026385	-1.0126	0.18182	0.22222	0.31124	0.47613	-0.030237	-1.1604	0.18182	0.22222	0.24588	0.54093
CTRL	10	0.050808	2.0151	0.36364	0.72727	0.043893	0.12071	0.021697	0.86041	0.36364	0.4	0.38956	0.47613	0.016264	0.64493	0.090909	0.125	0.51897	0.71359
ROSA26	10	-0.0082322	-0.38662	0.63636	0.72727	0.69904	0.69904	-0.019391	-0.91046	0.18182	0.22222	0.36258	0.47613	-0.021728	-1.0201	0.090909	0.125	0.30768	0.56409
CCR5	10	0.0081628	0.41339	0.54545	0.72727	0.67932	0.69904	-0.022679	-1.1484	0.18182	0.22222	0.25079	0.47613	-0.0043716	-0.22137	0.090909	0.125	0.82481	0.90318
AAVS1	10	-0.018625	-0.66679	0.63636	0.72727	0.50491	0.61711	-0.031649	-1.1327	0.090909	0.16667	0.25733	0.47613	-0.065167	-2.332	0	0	0.0197	0.2167
EGFP	6	-1.6072	-6.6269	0	0	3.429e-11	3.7719e-10	0.26604	1.0973	0	0	0.27253	0.47613	0.38747	1.5981	0	0	0.11002	0.30256
mKate2	6	0.63107	1.9129	0	0	0.055764	0.12268	0.51658	1.5658	0	0	0.1174	0.47613	0.57147	1.7322	0	0	0.083247	0.30256
