Gene	sgRNA	S21_MNSC503_F5|beta	S21_MNSC503_F5|z	S21_MNSC503_F5|p-value	S21_MNSC503_F5|fdr	S21_MNSC503_F5|wald-p-value	S21_MNSC503_F5|wald-fdr	S23_MNSC503_F7|beta	S23_MNSC503_F7|z	S23_MNSC503_F7|p-value	S23_MNSC503_F7|fdr	S23_MNSC503_F7|wald-p-value	S23_MNSC503_F7|wald-fdr	S24_MNSC503_F8|beta	S24_MNSC503_F8|z	S24_MNSC503_F8|p-value	S24_MNSC503_F8|fdr	S24_MNSC503_F8|wald-p-value	S24_MNSC503_F8|wald-fdr
Vector	1	0.073342	0.2305	0.54545	1	0.8177	0.8177	0.25511	0.80175	0.27273	0.3	0.4227	0.46497	0.2289	0.7194	0.27273	0.33333	0.4719	0.67202
SOX9	6	1.0904	1.7807	0	0	0.074964	0.20615	0.64886	1.0596	0	0	0.28932	0.45465	0.81211	1.3262	0	0	0.18477	0.54748
PROM1	6	-0.014795	-0.76419	0.72727	1	0.44476	0.48923	0.016752	0.86528	0.27273	0.3	0.38688	0.46497	-0.037361	-1.9298	0	0	0.053629	0.54748
KRT20	6	-1.8951	-8.199	0	0	2.423e-16	1.3327e-15	0.2712	1.1739	0.27273	0.3	0.24045	0.44082	0.18635	0.8066	0.45455	0.5	0.4199	0.67202
LRIG1	6	-0.039771	-2.4493	0.63636	1	0.014313	0.05248	-0.026528	-1.6337	0	0	0.10231	0.37514	-0.0059116	-0.36408	0	0	0.7158	0.7158
CTRL	10	0.023664	1.1277	1	1	0.25945	0.45776	0.039933	1.903	0.18182	0.28571	0.057044	0.31374	0.014528	0.69231	0	0	0.48874	0.67202
ROSA26	10	-0.014348	-0.85281	0.72727	1	0.39377	0.48127	-0.04337	-2.5778	0	0	0.0099419	0.10936	-0.021605	-1.2842	0	0	0.19908	0.54748
CCR5	10	0.020756	1.0408	1	1	0.29798	0.45776	-0.028482	-1.4282	0	0	0.15324	0.42141	-0.030602	-1.5345	0	0	0.12491	0.54748
AAVS1	10	0.025731	0.99641	1	1	0.31905	0.45776	-0.033131	-1.283	0	0	0.1995	0.4389	-0.0098308	-0.38069	0	0	0.70343	0.7158
EGFP	6	-2.7338	-9.1099	0	0	8.2493e-20	9.0742e-19	0.14673	0.48943	0.72727	0.72727	0.62454	0.62454	0.13583	0.45307	1	1	0.6505	0.7158
mKate2	6	1.7896	0.96826	0	0	0.33291	0.45776	1.6868	0.91264	0	0	0.36143	0.46497	1.529	0.82726	0	0	0.40809	0.67202
