Gene	sgRNA	S37_MNSC505_F5|beta	S37_MNSC505_F5|z	S37_MNSC505_F5|p-value	S37_MNSC505_F5|fdr	S37_MNSC505_F5|wald-p-value	S37_MNSC505_F5|wald-fdr	S39_MNSC505_F7|beta	S39_MNSC505_F7|z	S39_MNSC505_F7|p-value	S39_MNSC505_F7|fdr	S39_MNSC505_F7|wald-p-value	S39_MNSC505_F7|wald-fdr	S40_MNSC505_F8|beta	S40_MNSC505_F8|z	S40_MNSC505_F8|p-value	S40_MNSC505_F8|fdr	S40_MNSC505_F8|wald-p-value	S40_MNSC505_F8|wald-fdr
Vector	1	0.15678	0.49223	0.27273	0.625	0.62255	0.7609	0.1844	0.57894	0.27273	0.5	0.56263	0.68765	0.25835	0.81112	0.27273	0.57143	0.4173	0.41949
SOX9	6	-0.59817	-2.4451	0	0	0.014483	0.079656	-0.95613	-3.9071	0	0	9.3416e-05	0.0010276	-1.0037	-4.1015	0	0	4.1054e-05	0.00045159
PROM1	6	0.027853	1.1292	0.81818	0.9	0.2588	0.46483	0.023061	0.93495	0.81818	1	0.34981	0.48099	0.034382	1.3939	0.81818	0.81818	0.16334	0.29574
KRT20	6	1.1336	1.0147	0	0	0.31027	0.46483	1.248	1.1171	0	0	0.26396	0.44493	1.4476	1.2958	0	0	0.19505	0.29574
LRIG1	6	0.0032017	0.14332	0.90909	0.90909	0.88603	0.88603	-0.0099136	-0.44378	0.90909	1	0.6572	0.72292	-0.058667	-2.6262	0.63636	0.77778	0.0086333	0.047483
CTRL	10	0.0058835	0.27892	0.72727	0.88889	0.7803	0.85834	0.040821	1.9353	1	1	0.05296	0.14564	0.020055	0.9508	0.63636	0.77778	0.34171	0.41764
ROSA26	10	-0.044875	-1.2129	0.45455	0.625	0.22515	0.46483	-0.044369	-1.1992	0.54545	0.85714	0.23043	0.44493	-0.049361	-1.3342	0.36364	0.57143	0.18212	0.29574
CCR5	10	-0.068979	-1.6263	0.36364	0.625	0.10388	0.38088	-0.10901	-2.57	0.27273	0.5	0.010168	0.037284	-0.091059	-2.147	0.36364	0.57143	0.031797	0.087441
AAVS1	10	-0.064116	-1.3948	0.45455	0.625	0.16306	0.44843	-0.1373	-2.9867	0.27273	0.5	0.00282	0.01551	-0.10924	-2.3765	0.36364	0.57143	0.017477	0.064082
EGFP	6	-0.13518	-2.5319	0.36364	0.625	0.011344	0.079656	-0.00021334	-0.0039958	0.90909	1	0.99681	0.99681	0.043101	0.80731	0.81818	0.81818	0.41949	0.41949
mKate2	6	1.1789	0.95801	0	0	0.33806	0.46483	1.3208	1.0733	0	0	0.28314	0.44493	1.5256	1.2397	0	0	0.21508	0.29574
