Gene	sgRNA	S29_MNSC504_F5|beta	S29_MNSC504_F5|z	S29_MNSC504_F5|p-value	S29_MNSC504_F5|fdr	S29_MNSC504_F5|wald-p-value	S29_MNSC504_F5|wald-fdr	S31_MNSC504_F7|beta	S31_MNSC504_F7|z	S31_MNSC504_F7|p-value	S31_MNSC504_F7|fdr	S31_MNSC504_F7|wald-p-value	S31_MNSC504_F7|wald-fdr	S32_MNSC504_F8|beta	S32_MNSC504_F8|z	S32_MNSC504_F8|p-value	S32_MNSC504_F8|fdr	S32_MNSC504_F8|wald-p-value	S32_MNSC504_F8|wald-fdr
Vector	1	0.10369	0.29443	0.090909	0.2	0.76843	0.76843	0.17679	0.502	0.090909	0.125	0.61567	0.68021	0.32004	0.90874	0.090909	0.11111	0.36349	0.50652
SOX9	6	0.79455	1.875	0	0	0.060792	0.16718	0.4348	1.026	0	0	0.30488	0.68021	0.73926	1.7445	0	0	0.081079	0.22249
PROM1	6	-0.0098851	-0.57748	0.63636	0.9	0.56361	0.61997	-0.024824	-1.4502	0.090909	0.125	0.147	0.68021	-0.051463	-3.0064	0	0	0.0026439	0.029083
KRT20	6	-0.69412	-2.5944	0	0	0.0094751	0.052113	0.12427	0.46479	1	1	0.64208	0.68021	0.45165	1.6892	0.27273	0.3	0.091176	0.22249
LRIG1	6	0.017989	0.72946	0.81818	0.9	0.46572	0.56921	-0.024027	-0.97434	0.090909	0.125	0.32989	0.68021	-0.020128	-0.81614	0.090909	0.11111	0.41442	0.50652
CTRL	10	0.014805	0.79691	0.81818	0.9	0.4255	0.56921	0.0090331	0.48625	0.27273	0.33333	0.62679	0.68021	-0.0013506	-0.072693	0.090909	0.11111	0.94205	0.94205
ROSA26	10	-0.056081	-2.1571	0.45455	0.83333	0.030999	0.11366	-0.014644	-0.56328	0.090909	0.125	0.57324	0.68021	-0.042629	-1.6394	0.090909	0.11111	0.10113	0.22249
CCR5	10	0.015858	0.82407	0.81818	0.9	0.4099	0.56921	-0.0079314	-0.41217	0.090909	0.125	0.68021	0.68021	-0.003328	-0.17293	0.090909	0.11111	0.8627	0.94205
AAVS1	10	0.02821	1.1272	1	1	0.25967	0.56921	-0.046676	-1.865	0	0	0.062182	0.68021	-0.051126	-2.0423	0	0	0.041121	0.22249
EGFP	6	-0.91511	-5.2783	0	0	1.3042e-07	1.4346e-06	0.0811	0.46792	0.90909	1	0.63984	0.68021	0.15351	0.88568	0.81818	0.81818	0.37579	0.50652
mKate2	6	1.5294	0.75745	0	0	0.44878	0.56921	1.6663	0.82524	0	0	0.40924	0.68021	1.9565	0.96894	0	0	0.33257	0.50652
